image,title,platform,price
https://media.gamestop.com/i/gamestop/11110271/Warhammer-Chaosbane-Slayer-Edition?w=188&h=188,Warhammer: Chaosbane Slayer Edition,PlayStation 5,49.99
https://media.gamestop.com/i/gamestop/11105654/Watch-Dogs-Legion?w=188&h=188,Watch Dogs: Legion,PlayStation 5,29.83
https://media.gamestop.com/i/gamestop/11113140/Werewolf-The-Apocalypse-Earthblood?w=188&h=188,Werewolf: The Apocalypse Earthblood,PlayStation 5,49.99
https://media.gamestop.com/i/gamestop/11108997/WRC-9?w=188&h=188,WRC 9,PlayStation 5,29.99
https://media.gamestop.com/i/gamestop/11116121/Yakuza-Like-a-Dragon?w=188&h=188,Yakuza: Like a Dragon,PlayStation 5,59.8
https://media.gamestop.com/i/gamestop/11102094/Assassins-Creed-Valhalla?w=188&h=188,Assassin's Creed Valhalla,Xbox Series X,39.99
https://media.gamestop.com/i/gamestop/11102096/Assassins-Creed-Valhalla-Gold-Steelbook-Edition?w=188&h=188,Assassin's Creed Valhalla Gold Steelbook Edition,Xbox Series X,89.99
https://media.gamestop.com/i/gamestop/11102098/Assassins-Creed-Valhalla-Ultimate-Steelbook-Edition-Only-at-GameStop?w=188&h=188,Assassin's Creed Valhalla Ultimate Steelbook Edition Only at GameStop,Xbox Series X,109.99
https://media.gamestop.com/i/gamestop/B215853A/Assassins-Creed-Valhalla-Xbox-One/Series-X-and-Collectors-Box-Bundle?w=188&h=188,Assassin's Creed Valhalla Xbox One/Series X and Collector's Box Bundle,Xbox Series X,89.99
https://media.gamestop.com/i/gamestop/11109006/Balan-Wonderworld?w=188&h=188,Balan Wonderworld,Xbox Series X,39.99
https://media.gamestop.com/i/gamestop/11103154/Call-of-Duty-Black-Ops-Cold-War?w=188&h=188,Call of Duty: Black Ops Cold War,Xbox Series X,69.99
https://media.gamestop.com/i/gamestop/11107467/Control-Ultimate-Edition?w=188&h=188,Control Ultimate Edition,Xbox Series X,39.99
https://media.gamestop.com/i/gamestop/11108957/Devil-May-Cry-5-Special-Edition?w=188&h=188,Devil May Cry 5 Special Edition,Xbox Series X,29.99
https://media.gamestop.com/i/gamestop/11112302/FIFA-21-Next-Level-Edition?w=188&h=188,FIFA 21 Next Level Edition,Xbox Series X,69.99
https://media.gamestop.com/i/gamestop/11103266/Fortnite-The-Last-Laugh-Bundle?w=188&h=188,Fortnite: The Last Laugh Bundle,Xbox Series X,29.99
https://media.gamestop.com/i/gamestop/11108373/Gears-Tactics?w=188&h=188,Gears Tactics,Xbox Series X,59.99
https://media.gamestop.com/i/gamestop/11110453/HITMAN-3?w=188&h=188,HITMAN 3,Xbox Series X,49.94
https://media.gamestop.com/i/gamestop/11094292/Immortals-Fenyx-Rising?w=188&h=188,Immortals Fenyx Rising,Xbox Series X,29.99
https://media.gamestop.com/i/gamestop/11108595/Immortals-Fenyx-Rising-Gold-Edition?w=188&h=188,Immortals Fenyx Rising Gold Edition,Xbox Series X,69.99
https://media.gamestop.com/i/gamestop/11113109/It-Takes-Two?w=188&h=188,It Takes Two,Xbox Series X,29.83
https://media.gamestop.com/i/gamestop/11116380/Judgment?w=188&h=188,Judgment,Xbox Series X,29.99
https://media.gamestop.com/i/gamestop/11107483/Just-Dance-2021?w=188&h=188,Just Dance 2021,Xbox Series X,29.99
https://media.gamestop.com/i/gamestop/11134213/Life-is-Strange-True-Colors?w=188&h=188,Life is Strange: True Colors,Xbox Series X,59.99
